Ngày,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,+/- giá,Khớp lệnh
17/12/2021,82400,84500,86000,82400,2200,25185800
16/12/2021,82800,82300,82800,81700,-300,3290500
15/12/2021,82200,82600,82900,81600,500,3589800
14/12/2021,82500,82100,83000,81900,,3082100
13/12/2021,81000,82100,83500,80900,1200,6503000
10/12/2021,81300,80900,81600,80600,-700,4327100
9/12/2021,81100,81600,81800,80600,600,2766400
8/12/2021,81700,81000,81800,80900,-600,3810100
7/12/2021,80600,81600,81800,80200,1900,4522700
6/12/2021,80900,79700,81100,79400,-500,6641800
3/12/2021,82600,80200,83100,80200,-2100,5699400
2/12/2021,83200,82300,83400,82300,-600,4813200
1/12/2021,84200,82900,84500,82800,-1700,6787500
30/11/2021,85500,84600,85500,83000,-200,8501600
29/11/2021,81600,84800,84800,81600,1500,11265700
26/11/2021,83900,83300,84900,83200,-600,8576100
25/11/2021,84300,83900,85000,83500,200,8611000
24/11/2021,82700,83700,83700,81800,1200,7322400
23/11/2021,81000,82500,82500,80700,1500,3583700
22/11/2021,81200,81000,81500,79700,500,6326700
19/11/2021,82900,80500,83100,80000,-2300,7517600
18/11/2021,83500,82800,83900,82400,-700,6316700
17/11/2021,83000,83500,84000,82800,500,5259600
16/11/2021,84000,83000,84300,82700,-1000,6114200
15/11/2021,82500,84000,84400,82100,2000,9673200
12/11/2021,81600,82000,82000,80800,500,5317400
11/11/2021,82700,81500,82800,81400,-1100,9431300
10/11/2021,83400,82600,83500,82600,-400,4154800
9/11/2021,82500,83000,84500,82000,600,8139200
8/11/2021,82500,82400,83000,81500,400,8203200
5/11/2021,82200,82000,82800,81600,-700,8244100
4/11/2021,82500,82700,83500,81800,-200,8241100
3/11/2021,85100,82900,85500,82600,-2100,11230500
2/11/2021,84400,85000,85200,84300,700,5784000
1/11/2021,86000,84300,86900,84000,-1200,9723600
29/10/2021,81200,85500,85500,81200,4500,15578000
28/10/2021,81300,81000,81500,80500,,5310000
27/10/2021,78900,81000,81200,78900,2300,8780700
26/10/2021,78900,78700,79300,78500,200,2940100
25/10/2021,78600,78500,79700,78200,500,6781600
22/10/2021,78200,78000,78900,78000,100,4153100
21/10/2021,78800,77900,78900,77900,-900,5861900
20/10/2021,79600,78800,79600,78200,-600,5507700
19/10/2021,78900,79400,79800,78500,500,5568400
18/10/2021,78800,78900,79500,78500,200,4542000
15/10/2021,78900,78700,79500,78100,-200,5269100
14/10/2021,80000,78900,80000,78800,-1100,8587800
13/10/2021,81000,80000,81000,79900,-900,5259700
12/10/2021,81000,80900,81600,80400,-100,8096900
11/10/2021,79900,81000,81000,79500,1100,5384000
8/10/2021,79800,79900,80800,79700,-100,3466200
7/10/2021,80600,80000,80800,79700,-500,2556200
6/10/2021,79700,80500,80500,79600,1100,4488000
5/10/2021,77800,79400,79600,77500,1400,4573100
4/10/2021,77000,78000,78200,76200,1000,4104600
1/10/2021,78300,77000,78300,77000,-1300,4115400
30/09/2021,78500,78300,79400,78200,100,3151100
29/09/2021,78500,78200,78900,77700,-300,2992100
28/09/2021,77500,78500,79400,77400,300,5298500
27/09/2021,79600,78200,79600,78200,-1400,5151700
24/09/2021,79300,79600,80300,78700,300,4577300
23/09/2021,78100,79300,79500,78000,1300,4687300
22/09/2021,78000,78000,78200,76000,500,8759600
21/09/2021,78500,77500,79800,76100,-2400,13434500
20/09/2021,80800,79900,81100,79900,-1300,5456900
17/09/2021,80100,81200,81500,79600,1100,6873600
16/09/2021,82000,80100,82500,80000,-1800,7925100
15/09/2021,82300,81900,83500,80700,700,9287400
14/09/2021,107000,107000,108400,106700,,10966200
13/09/2021,108000,107000,108100,106800,-500,9821600
10/9/2021,108000,107500,108900,107500,-200,15193100
9/9/2021,107500,107700,108900,107100,-200,9925000
8/9/2021,109700,107900,110000,107700,-1700,9311500
7/9/2021,109000,109600,111000,108500,1200,11598900
6/9/2021,107900,108400,108900,106800,1400,13077500
1/9/2021,108400,107000,109200,106600,600,21977200
31/08/2021,107000,106400,107100,106200,-500,10567000
30/08/2021,107100,106900,107700,106600,,8782700
27/08/2021,106000,106900,106900,105000,300,9953900
26/08/2021,107000,106600,107400,105000,-400,13182400
25/08/2021,107500,107000,107900,106800,-300,16184100
24/08/2021,107500,107300,108100,106500,100,20691400
23/08/2021,107500,107200,109000,107200,-900,15955500
20/08/2021,111000,108100,111000,107800,-2900,20500700
19/08/2021,110000,111000,111400,109000,1000,18153200
18/08/2021,110000,110000,113500,107900,-1000,23516400
17/08/2021,115000,111000,115500,110500,-5000,19975200
16/08/2021,121900,116000,121900,114600,-4000,18686700
13/08/2021,118000,120000,120700,117200,3000,10159600
12/8/2021,115800,117000,117300,115200,1000,5228900
11/8/2021,117000,116000,117700,115400,-1000,8250600
10/8/2021,118500,117000,119100,117000,-400,7700400
9/8/2021,113900,117400,117400,113500,3500,6329000
6/8/2021,112000,113900,114500,111800,2200,11226500
5/8/2021,110400,111700,111700,109900,1200,5258200
4/8/2021,111500,110500,112000,109500,-400,4121600
3/8/2021,107800,110900,112200,107800,2800,9951300
2/8/2021,108000,108100,108400,107100,-200,4807700
30/07/2021,108000,108300,108800,107000,400,4731600
29/07/2021,109000,107900,109300,106500,1400,3954600
28/07/2021,107100,106500,107700,105600,-1300,4909500
27/07/2021,110700,107800,110800,107600,-1800,5342500
26/07/2021,107500,109600,110600,107200,2000,2753500
23/07/2021,110000,107600,111500,107600,-3400,2635200
22/07/2021,108000,111000,111000,107000,3000,3402500
21/07/2021,107500,108000,108800,106600,1400,3042000
20/07/2021,105600,106600,106600,103000,2300,4045600
19/07/2021,106900,104300,107700,103300,-4700,3189800
16/07/2021,110300,109000,110500,108700,-1300,2119200
15/07/2021,108500,110300,110600,108500,800,4555800
14/07/2021,109700,109500,112200,107800,,3325300
13/07/2021,109900,109500,109900,106000,1500,2562500
12/7/2021,112000,108000,112000,104700,-4500,8065200
9/7/2021,113700,112500,115900,111500,-2500,3902100
8/7/2021,115500,115000,116700,113800,-2000,4664700
7/7/2021,111000,117000,117000,109500,6700,7071300
6/7/2021,118100,110300,119100,110300,-8200,2814500
5/7/2021,119000,118500,119000,115200,500,4553400
2/7/2021,117200,118000,119200,116500,800,3152400
1/7/2021,117100,117200,118500,116800,-800,3700200
30/06/2021,119000,118000,120400,117300,-600,5135400
29/06/2021,116000,118600,119400,115800,3100,5907600
28/06/2021,113000,115500,115500,112400,3400,7156600
25/06/2021,112900,112100,113500,111600,,2846300
24/06/2021,110900,112100,115000,110000,800,3936900
23/06/2021,112000,111300,112000,108900,-200,3874800
22/06/2021,111900,111500,112300,111500,-500,2497800
21/06/2021,111900,112000,113000,111000,-500,3350800
18/06/2021,110000,112500,116000,108800,3500,4789800
17/06/2021,108500,109000,110000,108100,-1000,3866300
16/06/2021,112000,110000,113000,109100,-2600,4021200
15/06/2021,112000,112600,113100,111100,2700,5394500
14/06/2021,107100,109900,110900,107100,3900,7532600
11/6/2021,104000,106000,106400,103800,1900,3884300
10/6/2021,105500,104100,107000,104000,-2000,3369400
9/6/2021,106000,106100,106800,104500,800,3322600
8/6/2021,106700,105300,109500,105000,-700,7252600
7/6/2021,104500,106000,106800,104500,1500,4249400
4/6/2021,107000,104500,107300,103800,-900,3635200
3/6/2021,104600,105400,106000,104600,1000,5044900
2/6/2021,103500,104400,105500,103000,400,2664100
1/6/2021,102000,104000,105700,101300,1400,3869100
31/05/2021,104500,102600,104500,101100,-2000,5075900
28/05/2021,105000,104600,105500,103200,200,3237700
27/05/2021,106000,104400,107500,98700,-1300,4530700
26/05/2021,104600,105700,107200,103800,1100,4679100
25/05/2021,105200,104600,105900,104200,-1400,2865100
24/05/2021,104800,106000,107000,104000,2100,5182000
21/05/2021,101500,103900,104200,100500,1900,6075800
20/05/2021,100400,102000,102000,99200,1600,3923100
19/05/2021,99000,100400,100700,98500,1500,2871000
18/05/2021,101600,98900,102000,98900,-1900,3455700
17/05/2021,99500,100800,103500,99300,3600,5913000
14/05/2021,97000,97200,98500,96900,200,2990500
13/05/2021,97200,97000,98300,96900,-700,2560600
12/5/2021,97500,97700,98300,96800,-300,3510300
11/5/2021,99900,98000,99900,98000,-1100,3142600
10/5/2021,96100,99100,99800,96100,2000,3933700
7/5/2021,98500,97100,99500,97000,-1600,5114200
6/5/2021,99600,98700,101000,98700,-900,2793600
5/5/2021,99200,99600,101200,99200,400,2850600
4/5/2021,98000,99200,99500,96100,-100,4388500
29/04/2021,101400,99300,101500,99000,-1600,5374300
28/04/2021,100000,100900,102900,100000,900,5756900
27/04/2021,99600,100000,101100,98200,400,3979800
26/04/2021,105000,99600,105000,99600,-5400,8982600
23/04/2021,103600,105000,105000,102000,1900,8823200
22/04/2021,109000,103100,112400,103100,-5500,6647900
20/04/2021,107300,108600,111800,106600,4100,15266000
19/04/2021,103000,104500,104500,101300,3500,9104900
16/04/2021,101200,101000,104500,98000,-200,6593100
15/04/2021,101800,101200,104500,100700,700,7972300
14/04/2021,98500,100500,100500,97900,-2000,8169000
13/04/2021,102900,102500,105000,101800,700,4016800
12/4/2021,99500,101800,102000,99300,2900,3269900
9/4/2021,99200,98900,99200,98000,-800,2111100
8/4/2021,100500,99700,100500,99700,-800,1584900
7/4/2021,100700,100500,101400,99500,-1200,2485300
6/4/2021,101700,101700,103000,101300,,2102600
5/4/2021,105000,101700,105000,101000,1000,2653200
2/4/2021,100000,100700,101800,99700,1700,2203200
1/4/2021,97500,99000,99500,97100,1700,2578700
31/03/2021,96500,97300,98400,96500,1000,1897500
30/03/2021,96200,96300,97900,95900,100,2901300
29/03/2021,96000,96200,96500,95100,500,1446000
26/03/2021,96500,95700,96700,94100,-1000,2265800
25/03/2021,97200,96700,97700,95000,-500,2404000
24/03/2021,97600,97200,98000,96000,-1500,2103300
23/03/2021,98600,98700,99200,98000,-600,1319900
22/03/2021,98700,99300,99500,98000,1500,1576700
19/03/2021,99000,97800,99300,97800,-1900,2747200
18/03/2021,99500,99700,99900,98000,400,1374800
17/03/2021,98800,99300,99700,98100,-200,2007400
16/03/2021,99600,99500,99800,98100,-300,1317500
15/03/2021,99900,99800,100000,98500,-100,2288400
12/3/2021,100000,99900,101200,99300,-100,1733400
11/3/2021,101000,100000,101400,98900,100,1726900
10/3/2021,99500,99900,100300,98000,1700,2406700
9/3/2021,97000,98200,99300,95200,1000,2196300
8/3/2021,99700,97200,99800,96800,-1200,3046500
5/3/2021,98400,98400,99500,98000,-1600,2865300
4/3/2021,101900,100000,102000,98000,-1500,2714300
3/3/2021,102500,101500,102500,101300,-1300,2148400
2/3/2021,104000,102800,104500,101700,-200,2460000
1/3/2021,102000,103000,103400,101900,1400,2302000
26/02/2021,101300,101600,102800,100400,-1200,2385600
25/02/2021,103000,102800,103600,101500,,2300900
24/02/2021,106000,102800,106000,101000,-2500,3720700
23/02/2021,105800,105300,106400,104000,-500,2039100
22/02/2021,103600,105800,106200,103600,2700,4390500
19/02/2021,102000,103100,103400,101300,-100,1911800
18/02/2021,101000,103200,103200,100000,2200,4499400
17/02/2021,98000,101000,101200,97000,4200,3701700
9/2/2021,95900,96800,97300,93900,2100,2668600
8/2/2021,99300,94700,99400,92500,-4600,4803100
5/2/2021,98900,99300,99600,98300,900,2245800
4/2/2021,97200,98400,98900,95200,1200,2498900
3/2/2021,94500,97200,98900,94500,2800,3365900
2/2/2021,89000,94400,94400,88000,6100,2756900
1/2/2021,93600,88300,95000,88300,-5200,2634200
29/01/2021,84000,93500,93500,84000,6100,5469400
28/01/2021,87500,87400,89700,87400,-6500,3197600
27/01/2021,96000,93900,98200,91500,-4100,3312000
26/01/2021,99600,98000,99700,95000,-1500,2105700
25/01/2021,99500,99500,100100,98600,200,2142000
22/01/2021,99400,99300,101000,98900,300,2262800
21/01/2021,98000,99000,99400,97800,1500,3018300
20/01/2021,97000,97500,103000,94500,700,3457300
19/01/2021,100000,96800,100700,94000,-4200,3552500
18/01/2021,102000,101000,102800,99600,-600,2291200
15/01/2021,100700,101600,101600,99400,2000,2078100
14/01/2021,100900,99600,101200,98600,-1300,3274800
13/01/2021,104000,100900,104100,99600,-2500,2972500
12/1/2021,104800,103400,104900,103100,300,2862600
11/1/2021,98000,103100,103100,97600,6700,4512700
8/1/2021,95500,96400,96800,95300,1600,2187200
7/1/2021,94800,94800,95100,93400,,2926400
6/1/2021,96600,94800,96600,94200,-800,2838200
5/1/2021,91800,95600,96000,91500,3600,2853200
4/1/2021,91000,92000,92900,89900,2500,3077500
31/12/2020,91200,89500,91400,89500,-700,1272810
30/12/2020,90600,90200,92000,90000,-100,2027680
29/12/2020,87700,90300,90500,87100,2600,3451160
28/12/2020,88500,87700,88600,86700,100,1905670
25/12/2020,86200,87600,87600,85600,1300,1584940
24/12/2020,88000,86300,88100,84500,-1100,2687430
23/12/2020,87400,87400,89000,86800,500,3220800
22/12/2020,87200,86900,87900,86400,-200,2163130
21/12/2020,85600,87100,87300,85600,1800,3322250
18/12/2020,84700,85300,86000,84600,600,3038890
17/12/2020,86000,84700,86000,84500,-1500,4870320
16/12/2020,86000,86200,86600,85500,200,1812470
15/12/2020,86500,86000,88100,85000,-1000,4050090
14/12/2020,85400,87000,87000,85000,2000,2974170
11/12/2020,83600,85000,85000,83400,1400,2406180
10/12/2020,85400,83600,85700,83600,-1400,2406160
9/12/2020,84500,85000,85300,84200,600,2136700
8/12/2020,84900,84400,85700,84300,-300,1532530
7/12/2020,84500,84700,85100,83800,-200,1479390
4/12/2020,85000,84900,85200,84100,,2190950
3/12/2020,85600,84900,85600,84500,-300,1673260
2/12/2020,83200,85200,85800,83200,1900,4703540
1/12/2020,81500,83300,83300,81500,700,2597660
30/11/2020,83500,82600,84300,82200,-400,3533370
27/11/2020,82700,83000,83500,82100,300,2024240
26/11/2020,82900,82700,83200,82100,-800,2313600
25/11/2020,84000,83500,85700,83400,-300,3544000
24/11/2020,81000,83800,83800,80600,3200,5458900
23/11/2020,79400,80600,80900,79300,2100,5107110
20/11/2020,78000,78500,78800,77600,1000,2692820
19/11/2020,77500,77500,78200,77200,200,2451380
18/11/2020,78200,77300,78200,77300,-1000,2008090
17/11/2020,77000,78300,78300,76700,1700,2250180
16/11/2020,78600,76600,79200,76000,-1700,4096110
13/11/2020,77200,78300,78500,77200,1100,2425260
12/11/2020,76600,77200,77500,76600,600,1464300
11/11/2020,77900,76600,78100,76600,-800,2717770
10/11/2020,78700,77400,79000,77400,-600,3627750
9/11/2020,76000,78000,78000,76000,2300,3746870
6/11/2020,75700,75700,76000,75600,,1695290
5/11/2020,76000,75700,76900,75700,-200,1779570
4/11/2020,76000,75900,76500,75700,100,1825770
3/11/2020,76200,75800,76200,75500,-100,2067320
2/11/2020,76000,75900,76300,75400,-100,1162890
30/10/2020,77000,76000,77000,74900,-200,3013800
29/10/2020,75500,76200,76700,75400,600,2088330
28/10/2020,77200,75600,77700,75600,-2000,3139990
27/10/2020,79000,77600,79200,77600,-900,2422480
26/10/2020,80500,78500,81100,78500,-1000,3668950
23/10/2020,78000,79500,79900,77800,2000,5830890
22/10/2020,76500,77500,77500,76200,1100,1591870
21/10/2020,76400,76400,77700,76200,200,1862630
20/10/2020,76100,76200,76600,75800,100,2257630
19/10/2020,76800,76100,77000,76000,-900,2467450
16/10/2020,77900,77000,77900,76900,-500,1811510
15/10/2020,78700,77500,79100,77500,-1000,2689830
14/10/2020,78400,78500,78900,78100,400,2030870
13/10/2020,77900,78100,78600,77600,600,1233860
12/10/2020,77200,77500,79200,77000,500,4265300
9/10/2020,76600,77000,77400,76500,400,1456580
8/10/2020,77000,76600,77200,76300,-200,1043430
7/10/2020,76100,76800,77400,76100,700,2596060
6/10/2020,76000,76100,76800,76000,100,1505510
5/10/2020,76000,76000,76900,75900,100,1080840
2/10/2020,77000,75900,77400,75000,-1200,1730820
1/10/2020,76300,77100,77200,76100,1600,1359510
30/09/2020,75300,75500,76400,75100,200,1677150
29/09/2020,76700,75300,76900,75100,-1300,3772160
28/09/2020,77300,76600,77800,76600,-500,2015680
25/09/2020,77100,77100,77900,77000,,919900
24/09/2020,77500,77100,78400,77100,-400,1704250
23/09/2020,77000,77500,77900,76900,700,1398940
22/09/2020,77100,76800,77200,76500,-300,1612500
21/09/2020,77100,77100,77600,77100,200,1677550
18/09/2020,77000,76900,77200,76700,200,1791160
17/09/2020,77200,76700,77400,76600,-500,1809830
16/09/2020,76600,77200,77700,76600,400,1379550
15/09/2020,77900,76800,77900,76500,-700,4717630
14/09/2020,77700,77500,78300,77500,-200,1824670
11/9/2020,78100,77700,78200,77500,-400,2344930
10/9/2020,79000,78100,80600,77800,-500,4229990
9/9/2020,78000,78600,78600,77500,100,1956880
8/9/2020,79200,78500,79600,78200,-600,1816120
7/9/2020,80300,79100,81200,79000,-900,2013250
4/9/2020,79200,80000,80300,78800,400,2171010
3/9/2020,79100,79600,80600,78700,900,2913590
1/9/2020,78300,78700,78900,77500,200,1565620
31/08/2020,78500,78500,79200,78200,-100,1682380
28/08/2020,79000,78600,79100,78300,100,1742840
27/08/2020,79400,78500,79500,78200,-1000,2357000
26/08/2020,79600,79500,80300,79300,-100,2249680
25/08/2020,80000,79600,80500,79600,-400,1907340
24/08/2020,80000,80000,80600,79700,500,1475240
21/08/2020,80000,79500,80100,79500,-500,1074330
20/08/2020,80000,80000,82200,79800,,2428430
19/08/2020,79500,80000,80900,78900,400,1155260
18/08/2020,79700,79600,79700,78600,-100,1425980
17/08/2020,79000,79700,79900,78400,,1107050
14/08/2020,78900,79700,80900,78900,300,1189750
13/08/2020,79500,79400,79700,78700,,2025090
12/8/2020,79600,79400,79600,78400,,1497320
11/8/2020,79900,79400,79900,78600,-200,905140
10/8/2020,79800,79600,80000,78900,,1688770
7/8/2020,79700,79600,80000,78600,,1199110
